tile_id,pair,percentile,hard_dice,fg_percentile
0,Conch vs H-optimus,10,0.9952088961071163,10.0
0,Conch vs H-optimus,30,0.8999508668218903,10.0
0,Conch vs H-optimus,50,0.73737974311768,10.0
0,Conch vs H-optimus,70,0.6381990108036308,10.0
0,Conch vs H-optimus,90,0.6278483013945476,10.0
0,Conch vs MUSK,10,0.9700991531554451,10.0
0,Conch vs MUSK,30,0.9289338543976572,10.0
0,Conch vs MUSK,50,0.7989732646205558,10.0
0,Conch vs MUSK,70,0.8390059641318063,10.0
0,Conch vs MUSK,90,0.6021184544233534,10.0
0,H-optimus vs MUSK,10,0.9679610589986127,10.0
0,H-optimus vs MUSK,30,0.9146453906866026,10.0
0,H-optimus vs MUSK,50,0.7174905281080748,10.0
0,H-optimus vs MUSK,70,0.6179027421917732,10.0
0,H-optimus vs MUSK,90,0.7237740233334363,10.0
1,Conch vs H-optimus,10,0.9404238741668655,10.0
1,Conch vs H-optimus,30,0.8093101286750826,10.0
1,Conch vs H-optimus,50,0.6977444152289997,10.0
1,Conch vs H-optimus,70,0.588855688842083,10.0
1,Conch vs H-optimus,90,0.7773876057173305,10.0
1,Conch vs MUSK,10,0.9557132637252107,10.0
1,Conch vs MUSK,30,0.9557132637252107,10.0
1,Conch vs MUSK,50,0.7165676200927669,10.0
1,Conch vs MUSK,70,0.7379189482129908,10.0
1,Conch vs MUSK,90,0.7653470648815024,10.0
1,H-optimus vs MUSK,10,0.9587738742320958,10.0
1,H-optimus vs MUSK,30,0.8096072147642668,10.0
1,H-optimus vs MUSK,50,0.6295875279166865,10.0
1,H-optimus vs MUSK,70,0.4816390384788856,10.0
1,H-optimus vs MUSK,90,0.734692196829258,10.0
2,Conch vs H-optimus,10,0.9709954724503135,10.0
2,Conch vs H-optimus,30,0.920048415718687,10.0
2,Conch vs H-optimus,50,0.7993261659600116,10.0
2,Conch vs H-optimus,70,0.6903161419246221,10.0
2,Conch vs H-optimus,90,0.79787850734123,10.0
2,Conch vs MUSK,10,0.9611915156027239,10.0
2,Conch vs MUSK,30,0.8879326914676029,10.0
2,Conch vs MUSK,50,0.7591416862993976,10.0
2,Conch vs MUSK,70,0.6725305968325757,10.0
2,Conch vs MUSK,90,0.7704055130379913,10.0
2,H-optimus vs MUSK,10,0.9703011922132503,10.0
2,H-optimus vs MUSK,30,0.908638633800538,10.0
2,H-optimus vs MUSK,50,0.7462809828427448,10.0
2,H-optimus vs MUSK,70,0.6570137605257621,10.0
2,H-optimus vs MUSK,90,0.7745491934298647,10.0
3,Conch vs H-optimus,10,0.9708972666877947,10.0
3,Conch vs H-optimus,30,0.9036981294345204,10.0
3,Conch vs H-optimus,50,0.739310120458642,10.0
3,Conch vs H-optimus,70,0.6877595949625216,10.0
3,Conch vs H-optimus,90,0.8236626635194128,10.0
3,Conch vs MUSK,10,0.9887125207610854,10.0
3,Conch vs MUSK,30,0.952368437098531,10.0
3,Conch vs MUSK,50,0.8760117598346193,10.0
3,Conch vs MUSK,70,0.714537291105774,10.0
3,Conch vs MUSK,90,0.792460357035937,10.0
3,H-optimus vs MUSK,10,0.970954595454899,10.0
3,H-optimus vs MUSK,30,0.9008807132475661,10.0
3,H-optimus vs MUSK,50,0.7011874263209426,10.0
3,H-optimus vs MUSK,70,0.5826502962259403,10.0
3,H-optimus vs MUSK,90,0.7552827173333372,10.0
4,Conch vs H-optimus,10,0.9652563644504256,10.0
4,Conch vs H-optimus,30,0.8916654874769953,10.0
4,Conch vs H-optimus,50,0.7641618321328102,10.0
4,Conch vs H-optimus,70,0.7178673729603627,10.0
4,Conch vs H-optimus,90,0.8552753024886426,10.0
4,Conch vs MUSK,10,0.9604491921538997,10.0
4,Conch vs MUSK,30,0.8907052347703913,10.0
4,Conch vs MUSK,50,0.8907052347703913,10.0
4,Conch vs MUSK,70,0.7162140896965837,10.0
4,Conch vs MUSK,90,0.7532378204267252,10.0
4,H-optimus vs MUSK,10,0.9619529763646089,10.0
4,H-optimus vs MUSK,30,0.877440162960438,10.0
