group,metric,direction,n,mean,std,median,p05,p25,p75,p95
all,cosine,higher=more_consistent,361644,0.9813953638076782,0.013947242870926857,0.9848340153694153,0.9600421190261841,0.9777981042861938,0.989326000213623,0.9931361675262451
all,corr,higher=more_consistent,361644,0.9813953638076782,0.013947243802249432,0.9848340749740601,0.9600420594215393,0.9777981042861938,0.9893260598182678,0.9931360483169556
all,l2,lower=more_consistent,361644,5.131594181060791,1.565218448638916,4.844486236572266,3.2597501277923584,4.064709663391113,5.860346794128418,7.861295700073242
all,l1,lower=more_consistent,361644,113.66204071044922,34.597782135009766,107.36441802978516,72.22671508789062,90.08576202392578,129.7100372314453,174.04483032226562
tumor,cosine,higher=more_consistent,125079,0.9860687255859375,0.007477299775928259,0.9879623651504517,0.9718378186225891,0.9833738803863525,0.9909617900848389,0.9939218163490295
non_tumor,cosine,higher=more_consistent,236565,0.9789244532585144,0.01581653766334057,0.9826768636703491,0.9549599885940552,0.9750210046768188,0.9878342151641846,0.992332935333252
tumor,corr,higher=more_consistent,125079,0.986068606376648,0.007477300241589546,0.9879624247550964,0.9718378186225891,0.9833738803863525,0.9909617900848389,0.9939218163490295
non_tumor,corr,higher=more_consistent,236565,0.9789244532585144,0.01581653766334057,0.9826769232749939,0.9549600481987,0.9750211834907532,0.9878341555595398,0.9923329949378967
tumor,l2,lower=more_consistent,125079,4.510193347930908,1.1065559387207031,4.317316055297852,3.067690134048462,3.7409205436706543,5.07313871383667,6.602059364318848
non_tumor,l2,lower=more_consistent,236565,5.460148334503174,1.6690497398376465,5.176212787628174,3.445073366165161,4.338747501373291,6.215634822845459,8.346878051757812
tumor,l1,lower=more_consistent,125079,100.02323150634766,24.5367488861084,95.77174377441406,67.96595764160156,82.97175598144531,112.58846282958984,146.40028381347656
non_tumor,l1,lower=more_consistent,236565,120.8733139038086,36.89473342895508,114.613525390625,76.30945587158203,96.10843658447266,137.512939453125,184.7209930419922
