metric,direction,n_tumor,n_non_tumor,p_value,effect_cliffs_delta,mean_tumor,mean_non_tumor,median_tumor,median_non_tumor,test,q_value_bh
cosine,higher=more_consistent,125079,236565,0.0,0.4655966594542469,0.9693414309460574,0.9440762549223646,0.9750730991363525,0.9547770023345947,mann_whitney_u,0.0
corr,higher=more_consistent,125079,236565,0.0,0.4655966665176079,0.9693414297804505,0.944076251815208,0.9750730991363525,0.9547771215438843,mann_whitney_u,0.0
l2,lower=more_consistent,125079,236565,0.0,-0.4653180528227552,6.567699021471314,8.791846279146766,6.21312952041626,8.364075660705566,mann_whitney_u,0.0
l1,lower=more_consistent,125079,236565,0.0,-0.4654372254755412,145.49950216866384,194.7811296592701,137.6045684814453,185.2479248046875,mann_whitney_u,0.0
