group,metric,direction,n,mean,std,median,p05,p25,p75,p95
all,cosine,higher=more_consistent,361644,0.952814519405365,0.037957124412059784,0.9630968570709229,0.8815212845802307,0.9404284954071045,0.9779509902000427,0.9883341789245605
all,corr,higher=more_consistent,361644,0.952814519405365,0.03795712813735008,0.9630968570709229,0.8815212845802307,0.940428614616394,0.9779510498046875,0.9883341193199158
all,l2,lower=more_consistent,361644,8.022598266601562,2.9397964477539062,7.5578508377075195,4.250535011291504,5.843938827514648,9.600519180297852,13.536133766174316
all,l1,lower=more_consistent,361644,177.7364959716797,65.16248321533203,167.43093872070312,94.18377685546875,129.46478271484375,212.64634704589844,299.93170166015625
tumor,cosine,higher=more_consistent,125079,0.9693413972854614,0.021170219406485558,0.9750730991363525,0.9293237924575806,0.9611893892288208,0.98388671875,0.9900628924369812
non_tumor,cosine,higher=more_consistent,236565,0.9440763592720032,0.04177042469382286,0.9547770023345947,0.8648160099983215,0.9298731088638306,0.9717547297477722,0.9856966137886047
tumor,corr,higher=more_consistent,125079,0.9693413972854614,0.021170221269130707,0.9750730991363525,0.9293238520622253,0.961189329624176,0.98388671875,0.9900628924369812
non_tumor,corr,higher=more_consistent,236565,0.9440763592720032,0.04177042841911316,0.9547771215438843,0.8648160099983215,0.9298731684684753,0.9717548489570618,0.9856966137886047
tumor,l2,lower=more_consistent,125079,6.5676984786987305,2.0814836025238037,6.21312952041626,3.9226298332214355,4.995730400085449,7.751553535461426,10.458171844482422
non_tumor,l2,lower=more_consistent,236565,8.79184627532959,3.0348339080810547,8.364075660705566,4.707201957702637,6.611752986907959,10.414654731750488,14.456506729125977
tumor,l1,lower=more_consistent,125079,145.49949645996094,46.14750671386719,137.6045684814453,86.90033721923828,110.66600036621094,171.74676513671875,231.73768615722656
non_tumor,l1,lower=more_consistent,236565,194.7811279296875,67.26996612548828,185.2479248046875,104.260009765625,146.51524353027344,230.68731689453125,320.19012451171875
