metric,direction,n_tumor,n_non_tumor,p_value,effect_cliffs_delta,mean_tumor,mean_non_tumor,median_tumor,median_non_tumor,test,q_value_bh
cosine,higher=more_consistent,599,4025,6.165712820995877e-128,0.6084729207063533,0.897907018661499,0.8637984991073608,0.9013476371765137,0.8706499934196472,mann_whitney_u,8.518732554418833e-128
corr,higher=more_consistent,599,4025,6.389049415814124e-128,0.6084355914101143,0.8978956341743469,0.8637832403182983,0.9013416171073914,0.8706496953964233,mann_whitney_u,8.518732554418833e-128
l2,lower=more_consistent,599,4025,7.085875010831208e-129,-0.6107383942181068,16.677785873413086,19.351808547973633,16.46660804748535,18.938953399658203,mann_whitney_u,2.8343500043324833e-128
l1,lower=more_consistent,599,4025,4.543181043327011e-126,-0.6039452918425119,397.8729553222656,459.00250244140625,394.62109375,450.4407958984375,mann_whitney_u,4.543181043327011e-126
