auc,best_threshold_internal,best_threshold_original_score_space,best_J,tp,fp,tn,fn,sensitivity,specificity,accuracy,score_direction,metric,column,n,tumor_n,non_tumor_n
0.8053691971090533,-17.816280364990234,17.816280364990234,0.47940853803958977,472,1242,2783,127,0.7879799666110183,0.6914285714285714,0.7039359861591695,lower=more_tumor,l2,l2,4624,599,4025
0.8042364603531766,0.8810597062110901,0.8810597062110901,0.4750517943985317,506,1488,2537,93,0.8447412353923205,0.6303105590062111,0.6580882352941176,higher=more_tumor,cosine,cosine,4624,599,4025
0.804217795705057,0.8810582160949707,0.8810582160949707,0.4750517943985317,506,1488,2537,93,0.8447412353923205,0.6303105590062111,0.6580882352941176,higher=more_tumor,corr,corr,4624,599,4025
0.8019726459212558,-420.58087158203125,420.58087158203125,0.4636501830172441,445,1124,2901,154,0.7429048414023373,0.7207453416149069,0.7236159169550173,lower=more_tumor,l1,l1,4624,599,4025
