group,metric,direction,n,mean,std,median,p05,p25,p75,p95
all,cosine,higher=more_consistent,4624,0.8682169914245605,0.03966911882162094,0.87529456615448,0.7984406352043152,0.8508159518241882,0.8946287035942078,0.9160857200622559
all,corr,higher=more_consistent,4624,0.8682022094726562,0.03967505320906639,0.8752942085266113,0.7984461188316345,0.8508034944534302,0.8946279287338257,0.9160860180854797
all,l2,lower=more_consistent,4624,19.00541114807129,2.8885810375213623,18.58818817138672,15.191876411437988,17.041973114013672,20.436601638793945,24.03291130065918
all,l1,lower=more_consistent,4624,451.0837097167969,65.52133178710938,443.162353515625,363.4992980957031,406.7439270019531,484.37115478515625,564.4874877929688
tumor,cosine,higher=more_consistent,599,0.897907018661499,0.02503824047744274,0.9013476371765137,0.8546968698501587,0.8875996470451355,0.9136924743652344,0.9276517629623413
tumor,corr,higher=more_consistent,599,0.8978956341743469,0.025043854489922523,0.9013416171073914,0.8546705842018127,0.8875729441642761,0.9136881828308105,0.9276523590087891
tumor,l2,lower=more_consistent,599,16.677785873413086,1.976685881614685,16.46660804748535,14.120415687561035,15.327949523925781,17.646760940551758,20.10283660888672
tumor,l1,lower=more_consistent,599,397.8729553222656,46.304222106933594,394.62109375,338.1069641113281,366.4594421386719,422.08734130859375,474.608154296875
non_tumor,cosine,higher=more_consistent,4025,0.8637984991073608,0.0395452082157135,0.8706499934196472,0.7943629026412964,0.847286581993103,0.8902025818824768,0.9106449484825134
non_tumor,corr,higher=more_consistent,4025,0.8637832403182983,0.03955107554793358,0.8706496953964233,0.7943652272224426,0.8472181558609009,0.8902020454406738,0.9106208682060242
non_tumor,l2,lower=more_consistent,4025,19.351808547973633,2.8421616554260254,18.938953399658203,15.696718215942383,17.42066192626953,20.71619415283203,24.22767448425293
non_tumor,l1,lower=more_consistent,4025,459.00250244140625,64.25557708740234,450.4407958984375,374.7923889160156,415.73382568359375,490.6578369140625,568.0382080078125
