group,metric,direction,n,mean,std,median,p05,p25,p75,p95
all,cosine,higher=more_consistent,361644,0.9928693771362305,0.005934079643338919,0.994199812412262,0.9850856065750122,0.9917636513710022,0.9957679510116577,0.9972066879272461
all,corr,higher=more_consistent,361644,0.9928693771362305,0.005934079643338919,0.994199812412262,0.9850855469703674,0.9917635917663574,0.9957678914070129,0.9972066879272461
all,l2,lower=more_consistent,361644,3.1773366928100586,0.9679301977157593,2.9957971572875977,2.0793895721435547,2.559299945831299,3.569645404815674,4.802755355834961
all,l1,lower=more_consistent,361644,70.41254425048828,21.41807746887207,66.42106628417969,46.086708068847656,56.73462677001953,79.10360717773438,106.3692626953125
tumor,cosine,higher=more_consistent,125079,0.994369387626648,0.0028423916082829237,0.9950531721115112,0.9890018701553345,0.9933329224586487,0.9962316751480103,0.997399091720581
non_tumor,cosine,higher=more_consistent,236565,0.9920766353607178,0.006909544114023447,0.9936181306838989,0.9831120371818542,0.9909315705299377,0.995402991771698,0.9970411658287048
tumor,corr,higher=more_consistent,125079,0.994369387626648,0.0028423918411135674,0.9950531721115112,0.9890018701553345,0.9933328628540039,0.9962316751480103,0.997399091720581
non_tumor,corr,higher=more_consistent,236565,0.992076575756073,0.006909544114023447,0.9936181306838989,0.9831121563911438,0.990931510925293,0.995402991771698,0.9970412254333496
tumor,l2,lower=more_consistent,125079,2.8770222663879395,0.6629118919372559,2.767343759536743,2.0067946910858154,2.415365219116211,3.212665319442749,4.126167297363281
non_tumor,l2,lower=more_consistent,236565,3.336120843887329,1.0616029500961304,3.142021417617798,2.1398940086364746,2.6671533584594727,3.7453672885894775,5.11129093170166
tumor,l1,lower=more_consistent,125079,63.83235168457031,14.708290100097656,61.41661071777344,44.455535888671875,53.59324645996094,71.31210327148438,91.55889892578125
non_tumor,l1,lower=more_consistent,236565,73.89171600341797,23.492555618286133,69.61083984375,47.40315628051758,59.09779739379883,82.93135070800781,113.16339874267578
