metric,direction,n_tumor,n_non_tumor,p_value,effect_cliffs_delta,mean_tumor,mean_non_tumor,median_tumor,median_non_tumor,test,q_value_bh
cosine,higher=more_consistent,125079,236565,0.0,0.4531375928957062,0.9999671821426345,0.9999355606486731,0.9999737739562988,0.9999562501907349,mann_whitney_u,0.0
corr,higher=more_consistent,125079,236565,0.0,0.45313532052126626,0.9999671823961517,0.999935560863342,0.9999737739562988,0.9999562501907349,mann_whitney_u,0.0
l2,lower=more_consistent,125079,236565,0.0,-0.4527167758009403,0.21504532048158445,0.2892320923150534,0.20149454474449158,0.2602176070213318,mann_whitney_u,0.0
l1,lower=more_consistent,125079,236565,0.0,-0.45226335335371826,4.7596684057256855,6.400451633353372,4.460341453552246,5.758679389953613,mann_whitney_u,0.0
