metric,direction,n_tumor,n_non_tumor,p_value,effect_cliffs_delta,mean_tumor,mean_non_tumor,median_tumor,median_non_tumor,test,q_value_bh
cosine,higher=more_consistent,41499,81924,0.09031274697100322,0.005238708510902024,1.0000000128490603,1.0000000124019919,1.0,1.0,mann_whitney_u,0.12041699596133763
corr,higher=more_consistent,41499,81924,0.5268059534008426,0.0019581741118439577,1.0000000127269755,1.0000000125387731,1.0,1.0,mann_whitney_u,0.5268059534008426
l2,lower=more_consistent,41499,81924,0.0003723036144371101,-0.0003051608808163353,0.0,2.8556702487739286e-06,0.0,0.0,mann_whitney_u,0.0007446072288742202
l1,lower=more_consistent,41499,81924,0.0003723036144371101,-0.0003051608808163353,0.0,5.0796977060455105e-05,0.0,0.0,mann_whitney_u,0.0007446072288742202
