group,metric,direction,n,mean,std,median,p05,p25,p75,p95
all,cosine,higher=more_consistent,123423,1.0,6.14036892443437e-08,1.0,0.9999999403953552,1.0,1.0,1.0000001192092896
all,corr,higher=more_consistent,123423,1.0,6.144703945665242e-08,1.0,0.9999999403953552,1.0,1.0,1.0000001192092896
all,l2,lower=more_consistent,123423,1.8954968936668593e-06,0.00015268709103111178,0.0,0.0,0.0,0.0,0.0
all,l1,lower=more_consistent,123423,3.371731145307422e-05,0.002825436182320118,0.0,0.0,0.0,0.0,0.0
tumor,cosine,higher=more_consistent,41499,1.0,6.130606067245026e-08,1.0,0.9999999403953552,1.0,1.0,1.0000001192092896
non_tumor,cosine,higher=more_consistent,81924,1.0,6.145308617533374e-08,1.0,0.9999999403953552,1.0,1.0,1.0000001192092896
tumor,corr,higher=more_consistent,41499,1.0,6.144067299374001e-08,1.0,0.9999999403953552,1.0,1.0,1.0000001192092896
non_tumor,corr,higher=more_consistent,81924,1.0,6.145026532067277e-08,1.0,0.9999999403953552,1.0,1.0,1.0000001192092896
tumor,l2,lower=more_consistent,41499,0.0,0.0,0.0,0.0,0.0,0.0,0.0
non_tumor,l2,lower=more_consistent,81924,2.855670345525141e-06,0.00018740356608759612,0.0,0.0,0.0,0.0,0.0
tumor,l1,lower=more_consistent,41499,0.0,0.0,0.0,0.0,0.0,0.0,0.0
non_tumor,l1,lower=more_consistent,81924,5.079697439214215e-05,0.0034678662195801735,0.0,0.0,0.0,0.0,0.0
