auc,best_threshold_original_score_space,best_J,tp,fp,tn,fn,sensitivity,specificity,accuracy,score_direction,metric,column,n,tumor_n,non_tumor_n
0.6698910562951961,0.9996494650840759,0.25550703082403553,79061,89086,147479,46018,0.632088520055325,0.6234185107687105,0.6264171395073608,higher=more_tumor,corr,corr,361644,125079,236565
0.669890571694567,0.9996509552001953,0.25552271503373786,78714,88426,148139,46365,0.6293142733792243,0.6262084416545135,0.6272826315381977,higher=more_tumor,cosine,cosine,361644,125079,236565
0.6696495494597167,0.7354243993759155,0.255131615255529,78774,88632,147933,46305,0.6297939702108267,0.6253376450447024,0.6268789196004911,lower=more_tumor,l2,l2,361644,125079,236565
0.6691649834377782,16.24492645263672,0.2540179969267476,78364,88120,148445,46715,0.6265160418615435,0.6275019550652041,0.6271609649268342,lower=more_tumor,l1,l1,361644,125079,236565
