group,metric,direction,n,mean,std,median,p05,p25,p75,p95
all,cosine,higher=more_consistent,361644,0.9522202014923096,0.03819059208035469,0.9625591039657593,0.8803545832633972,0.9396584630012512,0.9775739908218384,0.988085150718689
all,corr,higher=more_consistent,361644,0.9522202014923096,0.03819059580564499,0.962559163570404,0.8803545236587524,0.939658522605896,0.9775739908218384,0.9880852103233337
all,l2,lower=more_consistent,361644,8.078041076660156,2.94449782371521,7.61262321472168,4.29568338394165,5.893524169921875,9.662537574768066,13.602204322814941
all,l1,lower=more_consistent,361644,178.95889282226562,65.26045989990234,168.63134765625,95.15496826171875,130.59127807617188,214.0406494140625,301.3278503417969
tumor,cosine,higher=more_consistent,125079,0.9689679741859436,0.021327758207917213,0.9747780561447144,0.9285272359848022,0.9607535600662231,0.9836199283599854,0.9898750185966492
non_tumor,cosine,higher=more_consistent,236565,0.9433651566505432,0.04198170825839043,0.9540765285491943,0.8638942241668701,0.928994357585907,0.9712366461753845,0.9853410124778748
tumor,corr,higher=more_consistent,125079,0.9689679741859436,0.021327761933207512,0.9747780561447144,0.9285272359848022,0.9607535600662231,0.9836199283599854,0.9898750185966492
non_tumor,corr,higher=more_consistent,236565,0.9433651566505432,0.041981711983680725,0.9540766477584839,0.8638942241668701,0.9289944171905518,0.9712366461753845,0.9853410124778748
tumor,l2,lower=more_consistent,125079,6.610097885131836,2.0862457752227783,6.250249862670898,3.95999813079834,5.036569595336914,7.795426368713379,10.518327713012695
non_tumor,l2,lower=more_consistent,236565,8.854188919067383,3.0349948406219482,8.428630828857422,4.765021324157715,6.67257833480835,10.479940414428711,14.507030487060547
tumor,l1,lower=more_consistent,125079,146.4427032470703,46.25057601928711,138.45932006835938,87.72026062011719,111.5592041015625,172.7162628173828,233.03688049316406
non_tumor,l1,lower=more_consistent,236565,196.1511993408203,67.26910400390625,186.72235107421875,105.57771301269531,147.84783935546875,232.10060119628906,321.48040771484375
