augmentation,matched_pairs,missing_pairs,failed_pairs,tile_rows,has_labels,cosine_mean,corr_mean,l2_mean,l1_mean,auc_best,auc_best_metric
affine_L0,93,0,0,361644,True,0.8906824588775635,0.8906824588775635,12.843452453613281,283.0561218261719,0.7147087130464965,l1
affine_L1,93,0,0,361644,True,0.8813577890396118,0.8813577890396118,13.372078895568848,294.74066162109375,0.7012981104250612,l1
affine_L2,93,0,0,361644,True,0.8781847357749939,0.8781847357749939,13.553938865661621,298.67919921875,0.7096231727613711,l1
elastic_L0,93,0,0,361644,True,0.9999465346336365,0.9999465346336365,0.26357367634773254,5.832968235015869,0.7265687964478532,cosine
elastic_L1,93,0,0,361644,True,0.9998581409454346,0.9998582005500793,0.44182056188583374,9.777137756347656,0.6961639396438808,corr
elastic_L2,93,0,0,361644,True,0.9995326995849609,0.9995326995849609,0.8068662881851196,17.85955047607422,0.6698910562951961,corr
gaussian_L0,93,0,0,361644,True,0.9970036745071411,0.9970036745071411,2.0757250785827637,45.970550537109375,0.6278336013690369,cosine
gaussian_L1,93,0,0,361644,True,0.9735908508300781,0.9735908508300781,6.190665245056152,136.88626098632812,0.6263024614257836,corr
gaussian_L2,93,0,0,361644,True,0.9373545050621033,0.9373545050621033,9.61415958404541,212.11941528320312,0.6831305242271801,cosine
he_L0,93,0,0,361644,True,0.952814519405365,0.952814519405365,8.022598266601562,177.7364959716797,0.732798333258804,corr
he_L1,93,0,0,361644,True,0.9522202014923096,0.9522202014923096,8.078041076660156,178.95889282226562,0.7346870748899682,cosine
he_L2,93,0,0,361644,True,0.9508795142173767,0.9508795142173767,8.203229904174805,181.71929931640625,0.7366220904569487,corr
hsv_L0,93,0,0,361644,True,0.9982120990753174,0.9982120990753174,1.6081669330596924,35.6585693359375,0.5999101484396429,cosine
hsv_L1,93,0,0,361644,True,0.9928693771362305,0.9928693771362305,3.1773366928100586,70.41254425048828,0.6469742960125948,corr
hsv_L2,93,0,0,361644,True,0.9813953638076782,0.9813953638076782,5.131594181060791,113.66204071044922,0.6918413833967932,cosine
none,27,0,0,123423,True,1.0,1.0,1.8954968936668593e-06,3.371731145307422e-05,0.502619354255451,cosine
