slide,modelA,modelB,pattern,n_tiles,fg_thresh,hard_thresh,soft_mean,soft_median,soft_std,hard_mean,hard_median,hard_std
TCGA-KL-8323-01Z-00-DX1.01d72f6a-cc87-4082-8af4-738250ec4d9c_patches_images,conch,musk,*_L-1_Havg.png,100,p10,otsu,0.9858340489591418,0.988642056604239,0.00866977587597928,0.9102291013196399,0.9260989577946532,0.05512290218000322
TCGA-KL-8323-01Z-00-DX1.01d72f6a-cc87-4082-8af4-738250ec4d9c_patches_images,conch,hoptimus,*_L-1_Havg.png,100,p10,otsu,0.9834210189697328,0.9857025802805475,0.011231285623726217,0.8386764364767508,0.8809764024774049,0.13342755273149637
TCGA-KL-8323-01Z-00-DX1.01d72f6a-cc87-4082-8af4-738250ec4d9c_patches_images,musk,hoptimus,*_L-1_Havg.png,100,p10,otsu,0.9836124757713393,0.9897197393275075,0.013984516631655506,0.84258433988675,0.9028496702233864,0.1415911492465207
TCGA-KL-8324-01Z-00-DX1.d99a7299-8f9b-4881-8324-50ed2d63358c_patches_images,conch,musk,*_L-1_Havg.png,100,p10,otsu,0.9860523258594854,0.9870038031080965,0.00745706633112752,0.8855879751977388,0.9119018661015559,0.08111334381010812
TCGA-KL-8324-01Z-00-DX1.d99a7299-8f9b-4881-8324-50ed2d63358c_patches_images,conch,hoptimus,*_L-1_Havg.png,100,p10,otsu,0.9809304336785045,0.9850748395301656,0.015011380449990654,0.7975477061951607,0.836131805971281,0.15651255439601716
TCGA-KL-8324-01Z-00-DX1.d99a7299-8f9b-4881-8324-50ed2d63358c_patches_images,musk,hoptimus,*_L-1_Havg.png,100,p10,otsu,0.9814395498686973,0.9874328722094923,0.016014126630927786,0.8009006090229285,0.8685090225344583,0.16167198243115674
TCGA-KL-8325-01Z-00-DX1.330bdb6c-86ee-4577-9846-298080b4c2ad_patches_images,conch,musk,*_L-1_Havg.png,100,p10,otsu,0.9863560098828608,0.9878816436550117,0.008474761028929582,0.9165188677999301,0.9264393713708315,0.05231475716831361
TCGA-KL-8325-01Z-00-DX1.330bdb6c-86ee-4577-9846-298080b4c2ad_patches_images,conch,hoptimus,*_L-1_Havg.png,100,p10,otsu,0.9740125306414525,0.9830391539975321,0.024350425553808303,0.8313041300685439,0.8836547119473781,0.1486374271708551
TCGA-KL-8325-01Z-00-DX1.330bdb6c-86ee-4577-9846-298080b4c2ad_patches_images,musk,hoptimus,*_L-1_Havg.png,100,p10,otsu,0.9743982329967819,0.9839848681033875,0.023848551289415227,0.8268339153399462,0.8784528933640956,0.15424975606505434
TCGA-KL-8326-01Z-00-DX1.0fe86143-728f-4447-98a5-4a6d87ef398b_patches_images,conch,musk,*_L-1_Havg.png,100,p10,otsu,0.9895690138714552,0.9906028820732445,0.005167829711120999,0.9096209991264146,0.9162641662352283,0.04466929730354412
TCGA-KL-8326-01Z-00-DX1.0fe86143-728f-4447-98a5-4a6d87ef398b_patches_images,conch,hoptimus,*_L-1_Havg.png,100,p10,otsu,0.983749246795202,0.9886040145152537,0.014534085184432579,0.8556201998762583,0.902451787392702,0.1262250260031191
TCGA-KL-8326-01Z-00-DX1.0fe86143-728f-4447-98a5-4a6d87ef398b_patches_images,musk,hoptimus,*_L-1_Havg.png,100,p10,otsu,0.9865211998109881,0.9920214641177182,0.012599312402578512,0.8576726973081285,0.9068901652726646,0.12898267546454573
TCGA-KL-8327-01Z-00-DX1.f3009cdc-baf7-45ba-95a6-1b6311799cc8_patches_images,conch,musk,*_L-1_Havg.png,100,p10,otsu,0.9863605799303281,0.9882946561921186,0.007469465947964477,0.9016496817867803,0.9137206999706862,0.06757196022323605
TCGA-KL-8327-01Z-00-DX1.f3009cdc-baf7-45ba-95a6-1b6311799cc8_patches_images,conch,hoptimus,*_L-1_Havg.png,100,p10,otsu,0.9796150233913293,0.9856822023109197,0.017080272946588634,0.8440223528039664,0.891241003473635,0.14387887157478949
TCGA-KL-8327-01Z-00-DX1.f3009cdc-baf7-45ba-95a6-1b6311799cc8_patches_images,musk,hoptimus,*_L-1_Havg.png,100,p10,otsu,0.9833461902956793,0.9901391306058798,0.01604407368807944,0.8508916903231399,0.9099603285018893,0.14416174768305587
TCGA-KL-8328-01Z-00-DX1.497ddcb5-0436-4c76-a633-4744e24e6efe_patches_images,conch,musk,*_L-1_Havg.png,100,p10,otsu,0.9893584037342704,0.9920713315667586,0.007142290811979609,0.9141403392448604,0.9308667371369707,0.0877424475558133
