group,metric,direction,n,mean,std,median,p05,p25,p75,p95
all,cosine,higher=more_consistent,361644,0.8813577890396118,0.042804740369319916,0.8903415203094482,0.8075171113014221,0.8638960123062134,0.9092455506324768,0.9288414120674133
all,corr,higher=more_consistent,361644,0.8813577890396118,0.042804744094610214,0.8903415203094482,0.8075170516967773,0.8638960123062134,0.9092456102371216,0.9288413524627686
all,l2,lower=more_consistent,361644,13.372078895568848,2.2125003337860107,13.032232284545898,10.500323295593262,11.857463836669922,14.515861511230469,17.258615493774414
all,l1,lower=more_consistent,361644,294.74066162109375,49.29000473022461,287.0574951171875,231.0340576171875,260.93048095703125,320.08294677734375,381.4277038574219
tumor,cosine,higher=more_consistent,125079,0.8984481692314148,0.027234012261033058,0.9034402370452881,0.8469284176826477,0.8860148191452026,0.9166611433029175,0.9324536323547363
non_tumor,cosine,higher=more_consistent,236565,0.872321605682373,0.04661298543214798,0.881174623966217,0.7928200364112854,0.8534808158874512,0.9023930430412292,0.925449013710022
tumor,corr,higher=more_consistent,125079,0.8984481692314148,0.027234012261033058,0.9034402370452881,0.8469284772872925,0.8860148191452026,0.9166611433029175,0.9324535727500916
non_tumor,corr,higher=more_consistent,236565,0.872321605682373,0.046612996608018875,0.8811745643615723,0.7928200960159302,0.8534809350967407,0.9023929238319397,0.925449013710022
tumor,l2,lower=more_consistent,125079,12.4418363571167,1.596465826034546,12.233365058898926,10.231464385986328,11.364503860473633,13.289618492126465,15.398581504821777
non_tumor,l2,lower=more_consistent,236565,13.863921165466309,2.3315982818603516,13.563316345214844,10.747212409973145,12.294864654541016,15.060304641723633,17.90597915649414
tumor,l1,lower=more_consistent,125079,273.7685852050781,35.28406524658203,269.11895751953125,225.1111297607422,249.9235382080078,292.44775390625,339.1930236816406
non_tumor,l1,lower=more_consistent,236565,305.8292236328125,51.96440887451172,298.9959716796875,236.6658477783203,270.80413818359375,332.32049560546875,396.3028564453125
